temp,R0_med,HPD_high,HPD_low,greater_zero
18.3,0,0.038705721,0,0.243
18.4,0,0.049048563,0,0.2594
18.5,0,0.061287109,0,0.2726
18.6,0,0.073116218,0,0.2862
18.7,0,0.086883525,0,0.3036
18.8,0,0.102221203,0,0.3214
18.9,0,0.121828275,0,0.3384
19,0,0.142937146,0,0.3578
19.1,0,0.164815397,0,0.3772
19.2,0,0.190179409,0,0.4002
19.3,0,0.215528063,0,0.4248
19.4,0,0.245438701,0,0.4502
19.5,0,0.280317337,0,0.4734
19.6,0.001591872,0.318732339,0,0.5008
19.7,0.016158688,0.359844715,0,0.5308
19.8,0.027942639,0.40271156,0,0.5602
19.9,0.04099472,0.443800896,0,0.5902
20,0.053547088,0.487650894,0,0.618
20.1,0.067565418,0.543680756,0,0.647
20.2,0.082218318,0.597198507,0,0.6768
20.3,0.098363502,0.657172565,0,0.713
20.4,0.116137187,0.725745186,0,0.7436
20.5,0.135396417,0.791138155,0,0.774
20.6,0.155705539,0.875826335,0,0.801
20.7,0.174911566,0.951403959,0,0.8232
20.8,0.195810576,1.009868549,0,0.8464
20.9,0.21847621,1.068799994,0,0.8662
21,0.240845025,1.142731641,0,0.883
21.1,0.265696895,1.226588785,0,0.899
21.2,0.289062355,1.326521019,0,0.9124
21.3,0.313794124,1.398313601,0,0.9238
21.4,0.339930948,1.497105862,0,0.934
21.5,0.365394458,1.579634388,0,0.94
21.6,0.392429685,1.661399386,0,0.9456
21.7,0.419492898,1.767056496,0,0.9502
21.8,0.446518489,1.852348117,0,0.9546
21.9,0.472892107,1.922671591,0,0.9578
22,0.499677369,2.007169907,0,0.9608
22.1,0.526215851,2.080847971,0,0.9634
22.2,0.552085859,2.174049693,0,0.9654
22.3,0.577784441,2.252961577,0,0.9676
22.4,0.602759971,2.357127542,0,0.97
22.5,0.629335012,2.451749763,0,0.9724
22.6,0.654467066,2.523734292,0.024192849,0.975
22.7,0.680457928,2.595009993,0.06663981,0.9766
22.8,0.706111648,2.654136561,0.113365012,0.9788
22.9,0.729101974,2.710249063,0.144748683,0.9804
23,0.750690663,2.780484067,0.169113042,0.9826
23.1,0.772926391,2.843238203,0.202149741,0.9856
23.2,0.794444804,2.896784515,0.228468544,0.9872
23.3,0.815038027,2.948369257,0.244807762,0.988
23.4,0.835557934,2.989337843,0.257576312,0.9902
23.5,0.853765502,3.016979186,0.274601429,0.9918
23.6,0.871827741,3.01575214,0.292643258,0.9944
23.7,0.89023737,3.030968378,0.309565824,0.9952
23.8,0.904404355,3.025753695,0.329434558,0.9962
23.9,0.919618188,3.024302312,0.347007482,0.9974
24,0.931937148,3.029523155,0.358819817,1
24.1,0.943277987,3.022896875,0.375199685,1
24.2,0.952952972,3.02367481,0.382850243,1
24.3,0.963294293,3.007270579,0.393376291,1
24.4,0.971473091,2.996393716,0.409557577,1
24.5,0.980978245,2.981109319,0.415350519,1
