temp,R0_med,HPD_high,HPD_low,greater_zero
17.3,0.014958157,0.10860753,0.000313773,0.998
17.4,0.018880268,0.123490746,0.000790153,0.9988
17.5,0.023291234,0.137850154,0.001623968,0.9992
17.6,0.028290733,0.155096847,0.002898984,0.9998
17.7,0.033684735,0.174422524,0.004526243,0.9998
17.8,0.039865783,0.193022602,0.006649475,0.9998
17.9,0.04681152,0.212827142,0.009231094,0.9998
18,0.054328546,0.234223277,0.012041949,1
18.1,0.062696736,0.258600587,0.01514382,1
18.2,0.071301881,0.28415449,0.018905805,1
18.3,0.080541838,0.309683823,0.023118994,1
18.4,0.090778499,0.337054626,0.027525613,1
18.5,0.101384361,0.3634727,0.032749063,1
18.6,0.112638514,0.391799302,0.037850714,1
18.7,0.12475869,0.422265027,0.043888305,1
18.8,0.137691568,0.45177908,0.050348072,1
18.9,0.150842208,0.48678705,0.056703729,1
19,0.164847297,0.520132366,0.06431139,1
19.1,0.179217113,0.55555456,0.071604995,1
19.2,0.194566412,0.588354877,0.079734167,1
19.3,0.210476266,0.627091577,0.088228698,1
19.4,0.226784469,0.65487786,0.097285197,1
19.5,0.2438515,0.699012711,0.106448716,1
19.6,0.260328434,0.737724534,0.115871489,1
19.7,0.277355076,0.776255114,0.125852627,1
19.8,0.295125587,0.812959838,0.135940826,1
19.9,0.313579161,0.848726551,0.146625187,1
20,0.332593172,0.883191297,0.158050194,1
20.1,0.351168651,0.91468508,0.169256811,1
20.2,0.370335093,0.956693953,0.180076143,1
20.3,0.390215812,0.992972936,0.191599688,1
20.4,0.410387937,1.028238647,0.204160417,1
20.5,0.43024388,1.062757209,0.216768559,1
20.6,0.450879485,1.099777325,0.229523795,1
20.7,0.471405908,1.144222117,0.241999345,1
20.8,0.491922431,1.178651047,0.254706434,1
20.9,0.513812419,1.21631353,0.267403425,1
21,0.53312881,1.251312944,0.279387776,1
21.1,0.554156298,1.291285067,0.293098322,1
21.2,0.574656783,1.332473522,0.304887998,1
21.3,0.593709856,1.370602934,0.318221321,1
21.4,0.614238621,1.405241616,0.331517964,1
21.5,0.634697224,1.453430504,0.345761763,1
21.6,0.655743594,1.48545364,0.359177883,1
21.7,0.675283171,1.513286207,0.371040809,1
21.8,0.693954775,1.538433747,0.383586072,1
21.9,0.713561588,1.564596502,0.396477182,1
22,0.733073473,1.596690515,0.408605173,1
22.1,0.751131406,1.620230637,0.4199214,1
22.2,0.767988521,1.653739384,0.430950288,1
22.3,0.785037895,1.6807119,0.442280262,1
22.4,0.801633584,1.698795995,0.453677671,1
22.5,0.817216576,1.721655731,0.463901635,1
22.6,0.833402318,1.740876669,0.476518988,1
22.7,0.848333103,1.776318776,0.48640539,1
22.8,0.86459598,1.795984297,0.496629982,1
22.9,0.878135429,1.814429986,0.506602038,1
23,0.891011388,1.835185573,0.5173479,1
23.1,0.902434792,1.851841713,0.526277869,1
